Family,Distance_to_core,Time_to_germination,Days_to_flower,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_stolon_thick,Avg_seeds_per_flower,sex_asex
16_5,25.27159407214257,3.6666666666666665,66,3.460733333333333,3.793888888888889,6.341111111111111,1.4566666666666668,2.525514037597353,0.4787424630617789
16_6,25.27159407214257,3.75,63.5,2.8709000000000007,3.5720833333333335,6.390416666666667,1.5125,2.0604306722689074,0.6287401163398236
16_7,25.27159407214257,2.6666666666666665,68.66666666666667,3.851066666666667,3.0749999999999997,5.15,1.46,2.9441678520625887,0.2650694179967455
16_8,25.27159407214257,3,60.333333333333336,3.5914000000000006,3.786111111111111,6.807777777777778,1.5683333333333334,2.0348479014247207,0.4527853576135584
17_1,26.712604213541383,3,65,4.172066666666667,3.647222222222222,6.217777777777778,1.4233333333333331,2.8025657398634727,0.6071651140122402
17_2,26.712604213541383,4,57,2.554066666666667,3.463888888888889,5.950555555555556,1.2333333333333334,2.6082044876193744,1.0566677977604344
17_3,26.712604213541383,3.3333333333333335,58.5,2.2540666666666667,3.943333333333334,6.386666666666667,1.6966666666666663,2.103779069767442,0.24867646623879808
17_4,26.712604213541383,3.6666666666666665,66.33333333333333,4.782733333333334,3.8227777777777776,6.399444444444445,1.3266666666666669,2.8743323191345502,0.4175715420749641
17_5,26.712604213541383,3.6666666666666665,62,2.751066666666667,3.696666666666667,6.36,1.4583333333333333,2.2600630386460954,0.8054330441525712
17_6,26.712604213541383,3.3333333333333335,68.33333333333333,2.486266666666667,3.4255555555555555,5.722777777777778,1.3583333333333334,1.740880503144654,0.5809781734327237
17_7,26.712604213541383,4,69.33333333333333,4.210733333333334,3.3088888888888888,5.538333333333333,1.41,2.9286209947839046,0.28723421098462665
17_8,26.712604213541383,3.6666666666666665,66.66666666666667,3.8154,3.3794444444444443,5.955555555555556,1.336666666666667,2.7501157148189623,0.38627666823924106
18_1,27.663536159879555,7,55.5,2.4119,3.65625,6.904999999999999,1.185,2.786511821732461,1.3197271860359054
18_2,27.663536159879555,10,58.5,3.0824000000000003,3.6175,6.764166666666666,1.095,2.6461043360433605,0.6484773769357212
18_3,27.663536159879555,6.333333333333333,49.333333333333336,1.8724,2.993333333333333,5.613888888888889,1.5616666666666668,1.7255876068376068,0.9069287189347008
18_4,27.663536159879555,5.333333333333333,58,2.600733333333333,3.178888888888889,5.392222222222222,1.1683333333333334,2.3951406649616365,0.5789905411294253
18_5,27.663536159879555,6.333333333333333,53.666666666666664,2.408066666666667,3.4733333333333336,5.968888888888889,1.2716666666666667,2.279978591665306,0.7580631765454998
19_2,29.97539430161768,5.666666666666667,67,3.0690666666666666,3.1283333333333334,5.682777777777778,1.2916666666666667,1.440909090909091,0.3232687461986272
19_3,29.97539430161768,4.666666666666667,52.333333333333336,3.3897333333333335,3.195,6.234444444444445,1.1316666666666666,1.692866009943489,0.33300554615899
19_4,29.97539430161768,4.666666666666667,66.33333333333333,4.093733333333333,3.627222222222222,6.176666666666667,1.735,1.8002392344497609,0.46847213627332845
19_5,29.97539430161768,4,59,2.2740666666666667,3.2266666666666666,6.122777777777777,1.2383333333333335,2.3431752873563214,0.5811028700419221
19_6,29.97539430161768,11,57,2.8349,3.6625,7.255833333333333,1.4775,2.1024844720496896,0.41952097075734607
19_7,29.97539430161768,3.3333333333333335,66.66666666666667,2.861733333333334,3.163333333333333,5.668888888888889,1.3833333333333335,3.482638888888889,0.4788939104505428
19_8,29.97539430161768,3,56.5,4.4884,3.6333333333333337,6.2316666666666665,1.2433333333333334,2.234765962036238,0.5119567477646081
2_1,2.643358115446909,3.3333333333333335,60,4.1234,3.8027777777777776,6.746111111111111,1.5133333333333334,1.492108705541998,0.3051203699212624
2_2,2.643358115446909,6.666666666666667,54.666666666666664,3.7607333333333335,3.542222222222222,6.842222222222222,1.4583333333333333,3.108966833966834,0.6883763804931662
2_3,2.643358115446909,3.75,57.25,4.85365,3.6804166666666664,6.7787500000000005,1.4975,2.8163306874925413,0.45317441513088097
2_4,2.643358115446909,4,64.5,6.8519,3.7908333333333335,6.5375000000000005,1.555,1.7112068965517242,0.3834410893328858
2_5,2.643358115446909,6.6,58.25,5.5374,3.826666666666666,7.07125,1.633,2.600820747217806,0.326333658395637
2_6,2.643358115446909,5.666666666666667,57,4.7214,3.597777777777778,6.658888888888889,1.675,2.739759684270503,0.4417757444825689
2_7,2.643358115446909,11.5,53.5,3.3434,3.2283333333333335,5.431666666666667,1.2625,1.686366479049406,0.4183765029610578
20_1,33.52969169255897,3.3333333333333335,68.66666666666667,4.599733333333333,3.4444444444444446,6.212777777777777,1.5416666666666667,2.2044012707722382,0.2889587802191432
